code,name,priority,max_days_per_week,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun,zone_1,zone_2,zone_3,zone_4,zone_5
PG,Pagu,1,7,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0.5,0.5,0.5,0.5,0.5
LD,Little Donkey,2,7,,,,,,,,400,400,400,400,,,400,400,400,400,400,,,400,0.5,0.5,0.5,0.5,0.5
MM,Mei Mei,2,3,,,,,,,,,,,,,,,,,,,120,120,120,0.5,0.5,0.5,0.5,0.5
PO,Porto,2,5,,,,,,,,300,300,300,300,300,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
CS,Cafe Sushi,2,2,,,,,,,,,,,,,,,,100,100,100,,,,0.5,0.5,0.5,0.5,0.5
SU,Suya,2,7,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.5,0.5,0.5,0.5,0.5
MD,MIDA,2,7,,,,,,,,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0.5,0.5,0.5,0.5,0.5
SH,Shojo & China Pearl,2,7,,,,,,,,225,225,225,225,225,225,225,225,225,225,225,225,225,225,0.5,0.5,0.5,0.5,0.5
BB,Banyan Bar + Refuge (The Gallows Group),2,7,,,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.5,0.5,0.5,0.5,0.5
ME,Mae Asian Eatery,2,4,,,,,,,,,150,150,150,150,150,,200,200,200,200,,,,0.5,0.5,0.5,0.5,0.5
RT,Row 34,2,3,,,,,,,,150,,150,,150,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
CE,Celeste,2,4,,,,,,,,150,150,150,150,150,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
BC,Breaktime Cafe,2,5,,,,,,,,300,300,300,300,300,,,300,300,300,300,300,,,0.5,0.5,0.5,0.5,0.5
FV,Field & Vine,2,2,,,,,,,,,,100,100,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5
MY,Mahaniyom,2,7,,,,,,,,200,200,200,200,200,200,200,,,,,,,,0.5,0.5,0.5,0.5,0.5
CL,Cafe Luna,2,6,,,,,,,,300,300,300,300,300,300,300,,,,,,,,0.5,0.5,0.5,0.5,0.5
FC,Flour Cafe,2,5,,,,,,,,300,300,300,300,300,,,100,100,100,100,100,100,,0.5,0.5,0.5,0.5,0.5
RD,Reign Drink Lab (REIGNcafe),2,5,,,,,,,,300,,300,300,,300,,300,300,300,300,300,300,,0.5,0.5,0.5,0.5,0.5
JC,JUGOS,2,7,,,,,,,,400,400,400,400,400,400,400,,,,,,,,0.5,0.5,0.5,0.5,0.5
NT,Naco Taco,2,7,,,,,,,,,,,300,300,300,300,,,,300,300,300,300,0.5,0.5,0.5,0.5,0.5
TB,Tarboosh,2,5,,,,,,,,50,50,50,50,,,50,,,,,,,,0.5,0.5,0.5,0.5,0.5